Log generated on :Tue Jan 31 11:10:16 2017

Car name is : ES

UP,PRESSED,11:10:31.411
CTRL,PRESSED,11:10:33.841
CTRL,RELEASED,11:10:34.669
RIGHT,PRESSED,11:10:34.795
RIGHT,RELEASED,11:10:34.894
LEFT,PRESSED,11:10:35.650
LEFT,RELEASED,11:10:35.761
RIGHT,PRESSED,11:10:36.116
RIGHT,RELEASED,11:10:36.291
CTRL,PRESSED,11:10:36.618
LEFT,PRESSED,11:10:36.789
LEFT,RELEASED,11:10:36.898
LEFT,PRESSED,11:10:37.548
LEFT,RELEASED,11:10:37.765
LEFT,PRESSED,11:10:38.014
CTRL,RELEASED,11:10:38.037
UP,RELEASED,11:10:38.126
UP,PRESSED,11:10:39.664
LEFT,RELEASED,11:10:40.538
RIGHT,PRESSED,11:10:40.887
RIGHT,RELEASED,11:10:41.261
RIGHT,PRESSED,11:10:41.369
RIGHT,RELEASED,11:10:41.422
LEFT,PRESSED,11:10:41.600
LEFT,RELEASED,11:10:42.008
RIGHT,PRESSED,11:10:42.259
RIGHT,RELEASED,11:10:42.544
LEFT,PRESSED,11:10:42.970
LEFT,RELEASED,11:10:43.057
LEFT,PRESSED,11:10:43.184
LEFT,RELEASED,11:10:43.356
RIGHT,PRESSED,11:10:43.676
RIGHT,RELEASED,11:10:43.877
RIGHT,PRESSED,11:10:44.551
UP,RELEASED,11:10:44.669
RIGHT,RELEASED,11:10:44.967
UP,PRESSED,11:10:44.991
CTRL,PRESSED,11:10:45.603
CTRL,RELEASED,11:10:46.155
LEFT,PRESSED,11:10:46.828
LEFT,RELEASED,11:10:46.891
LEFT,PRESSED,11:10:47.584
LEFT,RELEASED,11:10:47.726
LEFT,PRESSED,11:10:48.378
LEFT,RELEASED,11:10:48.609
RIGHT,PRESSED,11:10:49.007
RIGHT,RELEASED,11:10:49.144
LEFT,PRESSED,11:10:49.366
UP,RELEASED,11:10:49.438
LEFT,RELEASED,11:10:50.050
RIGHT,PRESSED,11:10:50.390
RIGHT,RELEASED,11:10:50.974
UP,PRESSED,11:10:51.001
LEFT,PRESSED,11:10:51.085
UP,RELEASED,11:10:51.086
UP,PRESSED,11:10:51.441
LEFT,RELEASED,11:10:51.466
LEFT,PRESSED,11:10:51.972
UP,RELEASED,11:10:52.105
LEFT,RELEASED,11:10:52.610
UP,PRESSED,11:10:52.610
RIGHT,PRESSED,11:10:53.127
RIGHT,RELEASED,11:10:53.217
CTRL,PRESSED,11:10:53.578
RIGHT,PRESSED,11:10:53.831
CTRL,RELEASED,11:10:53.859
RIGHT,RELEASED,11:10:53.944
LEFT,PRESSED,11:10:54.723
LEFT,RELEASED,11:10:54.852
RIGHT,PRESSED,11:10:55.396
RIGHT,RELEASED,11:10:55.452
CTRL,PRESSED,11:10:55.660
CTRL,RELEASED,11:10:55.813
LEFT,PRESSED,11:10:55.963
LEFT,RELEASED,11:10:56.064
LEFT,PRESSED,11:10:56.832
LEFT,RELEASED,11:10:56.991
LEFT,PRESSED,11:10:57.570
LEFT,RELEASED,11:10:58.010
RIGHT,PRESSED,11:10:58.463
RIGHT,RELEASED,11:10:58.552
LEFT,PRESSED,11:10:58.705
LEFT,RELEASED,11:10:58.924
LEFT,PRESSED,11:10:59.013
LEFT,RELEASED,11:10:59.451
LEFT,PRESSED,11:11:00.004
LEFT,RELEASED,11:11:00.148
LEFT,PRESSED,11:11:00.322
LEFT,RELEASED,11:11:00.484
CTRL,PRESSED,11:11:01.302
CTRL,RELEASED,11:11:01.435
LEFT,PRESSED,11:11:01.690
LEFT,RELEASED,11:11:01.806
RIGHT,PRESSED,11:11:02.334
RIGHT,RELEASED,11:11:02.409
LEFT,PRESSED,11:11:02.797
LEFT,RELEASED,11:11:03.173
LEFT,PRESSED,11:11:03.299
LEFT,RELEASED,11:11:03.299
CTRL,PRESSED,11:11:03.929
LEFT,PRESSED,11:11:04.017
LEFT,RELEASED,11:11:04.077
CTRL,RELEASED,11:11:04.416
CTRL,PRESSED,11:11:06.067
RIGHT,PRESSED,11:11:06.148
CTRL,RELEASED,11:11:06.175
RIGHT,RELEASED,11:11:06.231
RIGHT,PRESSED,11:11:07.116
RIGHT,RELEASED,11:11:07.963
RIGHT,PRESSED,11:11:08.117
RIGHT,RELEASED,11:11:08.359
LEFT,PRESSED,11:11:08.656
LEFT,RELEASED,11:11:08.856
RIGHT,PRESSED,11:11:09.422
RIGHT,RELEASED,11:11:10.326
LEFT,PRESSED,11:11:10.949
LEFT,RELEASED,11:11:11.039
LEFT,PRESSED,11:11:11.329
LEFT,RELEASED,11:11:11.388
CTRL,PRESSED,11:11:11.415
CTRL,RELEASED,11:11:11.890
RIGHT,PRESSED,11:11:11.947
RIGHT,RELEASED,11:11:12.113
RIGHT,PRESSED,11:11:12.748
RIGHT,RELEASED,11:11:12.907
LEFT,PRESSED,11:11:13.411
LEFT,RELEASED,11:11:13.621
LEFT,PRESSED,11:11:14.108
LEFT,RELEASED,11:11:14.880
RIGHT,PRESSED,11:11:15.377
RIGHT,RELEASED,11:11:15.463
RIGHT,PRESSED,11:11:15.735
RIGHT,RELEASED,11:11:16.316
RIGHT,PRESSED,11:11:16.631
RIGHT,RELEASED,11:11:16.775
CTRL,PRESSED,11:11:16.890
RIGHT,PRESSED,11:11:17.241
CTRL,RELEASED,11:11:17.295
RIGHT,RELEASED,11:11:17.353
RIGHT,PRESSED,11:11:18.429
RIGHT,RELEASED,11:11:18.600
RIGHT,PRESSED,11:11:18.959
RIGHT,RELEASED,11:11:19.421
RIGHT,PRESSED,11:11:19.496
RIGHT,RELEASED,11:11:19.732
LEFT,PRESSED,11:11:19.908
LEFT,RELEASED,11:11:20.136
LEFT,PRESSED,11:11:20.263
LEFT,RELEASED,11:11:20.487
RIGHT,PRESSED,11:11:20.986
RIGHT,RELEASED,11:11:21.063
RIGHT,PRESSED,11:11:21.509
RIGHT,RELEASED,11:11:21.509
RIGHT,PRESSED,11:11:21.774
RIGHT,RELEASED,11:11:21.877
RIGHT,PRESSED,11:11:22.042
RIGHT,RELEASED,11:11:22.672
CTRL,PRESSED,11:11:22.919
RIGHT,PRESSED,11:11:23.219
CTRL,RELEASED,11:11:23.300
RIGHT,RELEASED,11:11:23.780
CTRL,PRESSED,11:11:24.040
LEFT,PRESSED,11:11:24.429
CTRL,RELEASED,11:11:24.429
LEFT,RELEASED,11:11:24.583
RIGHT,PRESSED,11:11:26.650
RIGHT,RELEASED,11:11:26.788
RIGHT,PRESSED,11:11:27.588
RIGHT,RELEASED,11:11:27.718
RIGHT,PRESSED,11:11:27.775
RIGHT,RELEASED,11:11:27.877
RIGHT,PRESSED,11:11:28.056
RIGHT,RELEASED,11:11:28.272
LEFT,PRESSED,11:11:28.739
LEFT,RELEASED,11:11:28.992
RIGHT,PRESSED,11:11:29.483
RIGHT,RELEASED,11:11:29.637
RIGHT,PRESSED,11:11:29.870
RIGHT,RELEASED,11:11:31.071
RIGHT,PRESSED,11:11:31.400
RIGHT,RELEASED,11:11:31.655
CTRL,PRESSED,11:11:32.171
RIGHT,PRESSED,11:11:32.674
CTRL,RELEASED,11:11:32.887
CTRL,PRESSED,11:11:32.961
CTRL,RELEASED,11:11:33.034
RIGHT,RELEASED,11:11:33.409
LEFT,PRESSED,11:11:33.585
LEFT,RELEASED,11:11:33.758
RIGHT,PRESSED,11:11:34.233
RIGHT,RELEASED,11:11:34.411
RIGHT,PRESSED,11:11:34.911
RIGHT,RELEASED,11:11:35.720
LEFT,PRESSED,11:11:35.850
LEFT,RELEASED,11:11:36.017
LEFT,PRESSED,11:11:36.199
LEFT,RELEASED,11:11:36.653
RIGHT,PRESSED,11:11:36.857
RIGHT,RELEASED,11:11:36.985
RIGHT,PRESSED,11:11:37.115
RIGHT,RELEASED,11:11:37.696
RIGHT,PRESSED,11:11:38.129
RIGHT,RELEASED,11:11:38.284
LEFT,PRESSED,11:11:39.057
LEFT,RELEASED,11:11:39.181
RIGHT,PRESSED,11:11:39.441
RIGHT,RELEASED,11:11:39.572
RIGHT,PRESSED,11:11:39.887
RIGHT,RELEASED,11:11:40.046
RIGHT,PRESSED,11:11:40.291
RIGHT,RELEASED,11:11:40.455
RIGHT,PRESSED,11:11:40.700
RIGHT,RELEASED,11:11:41.289
CTRL,PRESSED,11:11:41.435
CTRL,RELEASED,11:11:42.432
CTRL,PRESSED,11:11:42.459
CTRL,RELEASED,11:11:42.668
LEFT,PRESSED,11:11:42.800
LEFT,RELEASED,11:11:43.084
RIGHT,PRESSED,11:11:43.491
RIGHT,RELEASED,11:11:43.637
RIGHT,PRESSED,11:11:44.078
RIGHT,RELEASED,11:11:44.201
RIGHT,PRESSED,11:11:44.477
RIGHT,RELEASED,11:11:44.606
RIGHT,PRESSED,11:11:44.891
RIGHT,RELEASED,11:11:45.384
CTRL,PRESSED,11:11:45.510
CTRL,RELEASED,11:11:46.455
LEFT,PRESSED,11:11:46.693
LEFT,RELEASED,11:11:47.126
CTRL,PRESSED,11:11:47.798
RIGHT,PRESSED,11:11:48.151
CTRL,RELEASED,11:11:48.562
UP,RELEASED,11:11:48.990
DOWN,PRESSED,11:11:49.612
RIGHT,RELEASED,11:11:49.636
RIGHT,PRESSED,11:11:50.517
DOWN,RELEASED,11:11:50.518
RIGHT,RELEASED,11:11:50.860
UP,PRESSED,11:11:50.964
LEFT,PRESSED,11:11:51.448
LEFT,RELEASED,11:11:51.562
UP,RELEASED,11:11:51.997
RIGHT,PRESSED,11:11:52.022
DOWN,PRESSED,11:11:52.422
LEFT,PRESSED,11:11:52.754
DOWN,RELEASED,11:11:53.454
LEFT,RELEASED,11:11:53.501
UP,PRESSED,11:11:54.091
UP,RELEASED,11:11:54.456
UP,PRESSED,11:11:55.052
RIGHT,RELEASED,11:11:55.685
UP,RELEASED,11:11:55.764
UP,PRESSED,11:11:55.843
RIGHT,PRESSED,11:11:56.326
RIGHT,RELEASED,11:11:56.538
RIGHT,PRESSED,11:11:57.314
UP,RELEASED,11:11:57.366
UP,PRESSED,11:11:57.393
RIGHT,RELEASED,11:11:57.494
UP,RELEASED,11:11:57.649
UP,PRESSED,11:11:57.857
LEFT,PRESSED,11:11:58.105
UP,RELEASED,11:11:58.131
LEFT,RELEASED,11:11:58.400
RIGHT,PRESSED,11:11:58.670
SPACE,PRESSED,11:11:58.862
lap 1,11:11:58.936,--------------------------------------
SPACE,RELEASED,11:11:59.284
DOWN,PRESSED,11:11:59.948
RIGHT,RELEASED,11:11:59.997
LEFT,PRESSED,11:12:00.130
DOWN,RELEASED,11:12:03.239
LEFT,RELEASED,11:12:03.342
UP,PRESSED,11:12:03.473
RIGHT,PRESSED,11:12:03.554
RIGHT,RELEASED,11:12:05.577
RIGHT,PRESSED,11:12:05.897
RIGHT,RELEASED,11:12:06.336
RIGHT,PRESSED,11:12:06.725
UP,RELEASED,11:12:07.251
UP,PRESSED,11:12:07.535
RIGHT,RELEASED,11:12:07.592
LEFT,PRESSED,11:12:08.083
LEFT,RELEASED,11:12:08.243
CTRL,PRESSED,11:12:08.510
CTRL,RELEASED,11:12:09.722
LEFT,PRESSED,11:12:09.852
LEFT,RELEASED,11:12:09.954
CTRL,PRESSED,11:12:10.574
RIGHT,PRESSED,11:12:10.733
RIGHT,RELEASED,11:12:10.816
CTRL,RELEASED,11:12:10.843
UP,RELEASED,11:12:11.418
LEFT,PRESSED,11:12:12.173
LEFT,RELEASED,11:12:12.793
UP,PRESSED,11:12:12.900
CTRL,PRESSED,11:12:13.312
LEFT,PRESSED,11:12:13.522
CTRL,RELEASED,11:12:13.578
LEFT,RELEASED,11:12:13.982
CTRL,PRESSED,11:12:14.588
CTRL,RELEASED,11:12:15.069
CTRL,PRESSED,11:12:15.123
CTRL,RELEASED,11:12:15.180
LEFT,PRESSED,11:12:15.389
LEFT,RELEASED,11:12:15.518
RIGHT,PRESSED,11:12:16.050
RIGHT,RELEASED,11:12:16.294
RIGHT,PRESSED,11:12:16.372
RIGHT,RELEASED,11:12:16.587
CTRL,PRESSED,11:12:17.016
RIGHT,PRESSED,11:12:17.692
CTRL,RELEASED,11:12:17.692
RIGHT,RELEASED,11:12:17.742
RIGHT,PRESSED,11:12:18.135
RIGHT,RELEASED,11:12:18.208
LEFT,PRESSED,11:12:18.356
LEFT,RELEASED,11:12:18.504
RIGHT,PRESSED,11:12:18.996
RIGHT,RELEASED,11:12:19.127
RIGHT,PRESSED,11:12:20.115
RIGHT,RELEASED,11:12:20.474
RIGHT,PRESSED,11:12:20.742
RIGHT,RELEASED,11:12:20.824
UP,RELEASED,11:12:20.939
LEFT,PRESSED,11:12:20.968
LEFT,RELEASED,11:12:21.598
RIGHT,PRESSED,11:12:21.726
RIGHT,RELEASED,11:12:21.964
LEFT,PRESSED,11:12:22.244
LEFT,RELEASED,11:12:22.651
UP,PRESSED,11:12:22.826
RIGHT,PRESSED,11:12:23.205
RIGHT,RELEASED,11:12:23.312
CTRL,PRESSED,11:12:24.246
RIGHT,PRESSED,11:12:24.595
RIGHT,RELEASED,11:12:24.679
CTRL,RELEASED,11:12:24.897
RIGHT,PRESSED,11:12:24.924
RIGHT,RELEASED,11:12:25.135
RIGHT,PRESSED,11:12:25.487
RIGHT,RELEASED,11:12:25.566
LEFT,PRESSED,11:12:27.314
LEFT,RELEASED,11:12:27.419
LEFT,PRESSED,11:12:27.653
LEFT,RELEASED,11:12:27.814
LEFT,PRESSED,11:12:27.842
UP,RELEASED,11:12:28.028
LEFT,RELEASED,11:12:28.298
RIGHT,PRESSED,11:12:28.809
RIGHT,RELEASED,11:12:28.842
CTRL,PRESSED,11:12:29.126
UP,PRESSED,11:12:29.185
LEFT,PRESSED,11:12:29.362
LEFT,RELEASED,11:12:29.586
CTRL,RELEASED,11:12:29.858
LEFT,PRESSED,11:12:29.997
LEFT,RELEASED,11:12:30.284
LEFT,PRESSED,11:12:30.579
LEFT,RELEASED,11:12:30.852
LEFT,PRESSED,11:12:31.864
LEFT,RELEASED,11:12:31.970
LEFT,PRESSED,11:12:32.647
LEFT,RELEASED,11:12:32.986
RIGHT,PRESSED,11:12:33.218
RIGHT,RELEASED,11:12:33.766
LEFT,PRESSED,11:12:33.938
LEFT,RELEASED,11:12:33.968
CTRL,PRESSED,11:12:34.241
LEFT,PRESSED,11:12:34.642
CTRL,RELEASED,11:12:34.698
LEFT,RELEASED,11:12:35.510
LEFT,PRESSED,11:12:35.703
LEFT,RELEASED,11:12:35.920
RIGHT,PRESSED,11:12:36.091
RIGHT,RELEASED,11:12:36.180
LEFT,PRESSED,11:12:36.449
LEFT,RELEASED,11:12:36.644
LEFT,PRESSED,11:12:37.842
LEFT,RELEASED,11:12:38.139
CTRL,PRESSED,11:12:38.194
CTRL,RELEASED,11:12:38.727
LEFT,PRESSED,11:12:38.863
LEFT,RELEASED,11:12:39.218
RIGHT,PRESSED,11:12:39.795
UP,RELEASED,11:12:41.049
RIGHT,RELEASED,11:12:41.556
LEFT,PRESSED,11:12:41.886
DOWN,PRESSED,11:12:41.964
LEFT,RELEASED,11:12:41.995
LEFT,PRESSED,11:12:42.401
DOWN,RELEASED,11:12:43.121
UP,PRESSED,11:12:43.352
UP,RELEASED,11:12:44.854
LEFT,RELEASED,11:12:46.090
RIGHT,PRESSED,11:12:46.121
DOWN,PRESSED,11:12:46.121
DOWN,RELEASED,11:12:49.299
RIGHT,RELEASED,11:12:49.299
UP,PRESSED,11:12:49.472
CTRL,PRESSED,11:12:50.320
LEFT,PRESSED,11:12:50.656
LEFT,RELEASED,11:12:51.092
CTRL,RELEASED,11:12:51.322
CTRL,PRESSED,11:12:51.420
LEFT,PRESSED,11:12:51.567
CTRL,RELEASED,11:12:51.730
LEFT,RELEASED,11:12:51.761
LEFT,PRESSED,11:12:51.888
LEFT,RELEASED,11:12:52.163
RIGHT,PRESSED,11:12:52.680
RIGHT,RELEASED,11:12:52.807
CTRL,PRESSED,11:12:53.284
RIGHT,PRESSED,11:12:53.596
CTRL,RELEASED,11:12:53.624
RIGHT,RELEASED,11:12:53.680
RIGHT,PRESSED,11:12:53.846
RIGHT,RELEASED,11:12:53.985
LEFT,PRESSED,11:12:56.010
LEFT,RELEASED,11:12:56.290
RIGHT,PRESSED,11:12:56.706
