Log generated on :Sun Feb 19 18:09:32 2017

Car name is : ES

UP,PRESSED,18:09:54.514
RIGHT,PRESSED,18:09:56.991
RIGHT,RELEASED,18:09:57.130
CTRL,PRESSED,18:09:57.363
CTRL,RELEASED,18:09:58.813
LEFT,PRESSED,18:09:58.975
LEFT,RELEASED,18:09:59.138
LEFT,PRESSED,18:10:00.832
LEFT,RELEASED,18:10:00.984
LEFT,PRESSED,18:10:01.178
LEFT,RELEASED,18:10:01.303
LEFT,PRESSED,18:10:01.648
LEFT,RELEASED,18:10:01.893
LEFT,PRESSED,18:10:02.053
LEFT,RELEASED,18:10:02.256
LEFT,PRESSED,18:10:02.619
LEFT,RELEASED,18:10:02.756
LEFT,PRESSED,18:10:02.871
UP,RELEASED,18:10:02.960
LEFT,RELEASED,18:10:03.235
UP,PRESSED,18:10:03.569
LEFT,PRESSED,18:10:04.014
LEFT,RELEASED,18:10:04.293
LEFT,PRESSED,18:10:04.728
LEFT,RELEASED,18:10:04.855
LEFT,PRESSED,18:10:05.048
LEFT,RELEASED,18:10:05.240
LEFT,PRESSED,18:10:05.533
LEFT,RELEASED,18:10:05.643
CTRL,PRESSED,18:10:05.848
RIGHT,PRESSED,18:10:06.176
RIGHT,RELEASED,18:10:06.287
CTRL,RELEASED,18:10:06.484
RIGHT,PRESSED,18:10:06.596
RIGHT,RELEASED,18:10:06.844
RIGHT,PRESSED,18:10:07.095
UP,RELEASED,18:10:07.187
UP,PRESSED,18:10:07.662
RIGHT,RELEASED,18:10:07.706
LEFT,PRESSED,18:10:07.877
LEFT,RELEASED,18:10:08.119
RIGHT,PRESSED,18:10:08.317
RIGHT,RELEASED,18:10:08.582
LEFT,PRESSED,18:10:08.950
LEFT,RELEASED,18:10:09.184
RIGHT,PRESSED,18:10:09.536
RIGHT,RELEASED,18:10:10.034
RIGHT,PRESSED,18:10:10.083
RIGHT,RELEASED,18:10:10.105
LEFT,PRESSED,18:10:10.245
LEFT,RELEASED,18:10:10.519
RIGHT,PRESSED,18:10:10.915
RIGHT,RELEASED,18:10:11.374
RIGHT,PRESSED,18:10:11.983
RIGHT,RELEASED,18:10:12.270
LEFT,PRESSED,18:10:12.848
UP,RELEASED,18:10:12.925
UP,PRESSED,18:10:13.684
UP,RELEASED,18:10:13.767
UP,PRESSED,18:10:13.820
UP,RELEASED,18:10:13.898
UP,PRESSED,18:10:14.159
LEFT,RELEASED,18:10:14.253
RIGHT,PRESSED,18:10:14.304
RIGHT,RELEASED,18:10:15.079
LEFT,PRESSED,18:10:15.177
LEFT,RELEASED,18:10:15.420
RIGHT,PRESSED,18:10:15.746
RIGHT,RELEASED,18:10:15.861
CTRL,PRESSED,18:10:16.074
RIGHT,PRESSED,18:10:16.695
RIGHT,RELEASED,18:10:16.826
LEFT,PRESSED,18:10:17.276
LEFT,RELEASED,18:10:17.363
LEFT,PRESSED,18:10:17.942
CTRL,RELEASED,18:10:17.964
LEFT,RELEASED,18:10:18.051
LEFT,PRESSED,18:10:19.337
LEFT,RELEASED,18:10:19.831
LEFT,PRESSED,18:10:19.992
UP,RELEASED,18:10:20.151
UP,PRESSED,18:10:20.468
LEFT,RELEASED,18:10:20.502
RIGHT,PRESSED,18:10:20.620
UP,RELEASED,18:10:21.281
UP,PRESSED,18:10:21.787
RIGHT,RELEASED,18:10:21.846
LEFT,PRESSED,18:10:22.030
LEFT,RELEASED,18:10:22.090
RIGHT,PRESSED,18:10:22.304
CTRL,PRESSED,18:10:22.459
RIGHT,RELEASED,18:10:22.486
CTRL,RELEASED,18:10:22.934
RIGHT,PRESSED,18:10:23.819
RIGHT,RELEASED,18:10:24.087
LEFT,PRESSED,18:10:24.378
LEFT,RELEASED,18:10:24.462
LEFT,PRESSED,18:10:24.943
LEFT,RELEASED,18:10:25.150
RIGHT,PRESSED,18:10:25.712
RIGHT,RELEASED,18:10:25.794
LEFT,PRESSED,18:10:25.958
LEFT,RELEASED,18:10:26.145
RIGHT,PRESSED,18:10:26.603
RIGHT,RELEASED,18:10:26.765
RIGHT,PRESSED,18:10:27.048
UP,RELEASED,18:10:27.318
RIGHT,RELEASED,18:10:27.397
UP,PRESSED,18:10:27.501
RIGHT,PRESSED,18:10:28.073
RIGHT,RELEASED,18:10:28.293
RIGHT,PRESSED,18:10:29.141
UP,RELEASED,18:10:29.387
RIGHT,RELEASED,18:10:29.637
UP,PRESSED,18:10:29.665
LEFT,PRESSED,18:10:29.796
LEFT,RELEASED,18:10:30.004
LEFT,PRESSED,18:10:30.373
LEFT,RELEASED,18:10:30.459
RIGHT,PRESSED,18:10:31.338
RIGHT,RELEASED,18:10:31.482
RIGHT,PRESSED,18:10:31.624
UP,RELEASED,18:10:31.654
UP,PRESSED,18:10:32.251
RIGHT,RELEASED,18:10:32.283
LEFT,PRESSED,18:10:32.368
LEFT,RELEASED,18:10:32.572
CTRL,PRESSED,18:10:33.035
RIGHT,PRESSED,18:10:33.035
CTRL,RELEASED,18:10:33.095
RIGHT,RELEASED,18:10:33.646
RIGHT,PRESSED,18:10:34.035
RIGHT,RELEASED,18:10:34.118
RIGHT,PRESSED,18:10:34.619
RIGHT,RELEASED,18:10:34.809
LEFT,PRESSED,18:10:35.341
LEFT,RELEASED,18:10:35.455
LEFT,PRESSED,18:10:35.750
LEFT,RELEASED,18:10:35.868
LEFT,PRESSED,18:10:36.202
LEFT,RELEASED,18:10:36.321
LEFT,PRESSED,18:10:36.556
LEFT,RELEASED,18:10:36.682
LEFT,PRESSED,18:10:37.088
LEFT,RELEASED,18:10:37.337
LEFT,PRESSED,18:10:37.512
LEFT,RELEASED,18:10:37.795
UP,RELEASED,18:10:37.851
UP,PRESSED,18:10:37.960
LEFT,PRESSED,18:10:38.069
LEFT,RELEASED,18:10:38.156
RIGHT,PRESSED,18:10:38.272
RIGHT,RELEASED,18:10:38.533
CTRL,PRESSED,18:10:39.058
LEFT,PRESSED,18:10:39.535
CTRL,RELEASED,18:10:39.684
LEFT,RELEASED,18:10:39.712
RIGHT,PRESSED,18:10:40.199
RIGHT,RELEASED,18:10:40.255
LEFT,PRESSED,18:10:40.468
LEFT,RELEASED,18:10:40.615
LEFT,PRESSED,18:10:41.031
LEFT,RELEASED,18:10:41.394
RIGHT,PRESSED,18:10:41.571
UP,RELEASED,18:10:41.725
UP,PRESSED,18:10:42.226
RIGHT,RELEASED,18:10:42.253
RIGHT,PRESSED,18:10:42.641
RIGHT,RELEASED,18:10:42.926
LEFT,PRESSED,18:10:43.285
LEFT,RELEASED,18:10:43.396
CTRL,PRESSED,18:10:43.977
LEFT,PRESSED,18:10:44.221
CTRL,RELEASED,18:10:44.378
LEFT,RELEASED,18:10:44.403
RIGHT,PRESSED,18:10:44.788
RIGHT,RELEASED,18:10:44.949
LEFT,PRESSED,18:10:45.402
LEFT,RELEASED,18:10:45.513
RIGHT,PRESSED,18:10:45.699
RIGHT,RELEASED,18:10:45.995
CTRL,PRESSED,18:10:46.219
RIGHT,PRESSED,18:10:46.656
RIGHT,RELEASED,18:10:46.760
RIGHT,PRESSED,18:10:47.025
RIGHT,RELEASED,18:10:47.104
RIGHT,PRESSED,18:10:47.505
RIGHT,RELEASED,18:10:47.580
RIGHT,PRESSED,18:10:47.879
CTRL,RELEASED,18:10:47.906
RIGHT,RELEASED,18:10:48.192
LEFT,PRESSED,18:10:48.514
LEFT,RELEASED,18:10:48.658
