Log generated on :Sat Feb 11 13:51:23 2017

Car name is : ES

UP,PRESSED,13:51:44.853
UP,RELEASED,13:51:45.600
UP,PRESSED,13:51:45.645
UP,RELEASED,13:51:46.142
UP,PRESSED,13:51:47.907
RIGHT,PRESSED,13:51:49.850
RIGHT,RELEASED,13:51:50.120
LEFT,PRESSED,13:51:50.403
LEFT,RELEASED,13:51:50.914
RIGHT,PRESSED,13:51:51.060
RIGHT,RELEASED,13:51:51.570
UP,RELEASED,13:51:51.902
LEFT,PRESSED,13:51:51.996
LEFT,RELEASED,13:51:52.229
UP,PRESSED,13:51:52.319
UP,RELEASED,13:51:52.501
RIGHT,PRESSED,13:51:52.588
RIGHT,RELEASED,13:51:52.908
UP,PRESSED,13:51:53.792
LEFT,PRESSED,13:51:54.149
LEFT,RELEASED,13:51:54.344
UP,RELEASED,13:51:54.538
RIGHT,PRESSED,13:51:54.804
RIGHT,RELEASED,13:51:55.119
UP,PRESSED,13:51:55.390
UP,RELEASED,13:51:55.525
LEFT,PRESSED,13:51:55.638
LEFT,RELEASED,13:51:55.730
LEFT,PRESSED,13:51:55.979
LEFT,RELEASED,13:51:56.524
RIGHT,PRESSED,13:51:56.910
RIGHT,RELEASED,13:51:57.234
LEFT,PRESSED,13:51:57.416
LEFT,RELEASED,13:51:57.553
LEFT,PRESSED,13:51:57.779
LEFT,RELEASED,13:51:58.090
LEFT,PRESSED,13:51:58.200
LEFT,RELEASED,13:51:58.425
LEFT,PRESSED,13:51:58.730
LEFT,RELEASED,13:51:58.774
RIGHT,PRESSED,13:51:58.950
RIGHT,RELEASED,13:51:59.103
LEFT,PRESSED,13:51:59.380
LEFT,RELEASED,13:51:59.792
UP,PRESSED,13:52:00.221
UP,RELEASED,13:52:00.332
UP,PRESSED,13:52:00.523
UP,RELEASED,13:52:00.738
LEFT,PRESSED,13:52:00.738
LEFT,RELEASED,13:52:01.169
UP,PRESSED,13:52:01.909
UP,RELEASED,13:52:02.331
LEFT,PRESSED,13:52:02.416
LEFT,RELEASED,13:52:02.800
RIGHT,PRESSED,13:52:03.188
RIGHT,RELEASED,13:52:03.559
UP,PRESSED,13:52:03.819
LEFT,PRESSED,13:52:03.886
UP,RELEASED,13:52:03.930
UP,PRESSED,13:52:03.996
LEFT,RELEASED,13:52:04.278
UP,RELEASED,13:52:04.454
UP,PRESSED,13:52:04.477
RIGHT,PRESSED,13:52:04.519
RIGHT,RELEASED,13:52:04.894
LEFT,PRESSED,13:52:05.094
LEFT,RELEASED,13:52:05.301
LEFT,PRESSED,13:52:05.529
LEFT,RELEASED,13:52:05.622
RIGHT,PRESSED,13:52:05.781
RIGHT,RELEASED,13:52:05.965
UP,RELEASED,13:52:05.987
UP,PRESSED,13:52:07.805
RIGHT,PRESSED,13:52:07.826
RIGHT,RELEASED,13:52:08.000
UP,RELEASED,13:52:08.128
